WONO,SQKNO,WLSSQI,SEQNO,EDATE,APYM,EMPNO,EMPDP,RETAIL,COST,TYPE,HOURS,TAXCD,LAREA,RCDCD,LDATE,LTIME,WLENUS
Y8ANA,1,5335054,28209550,20150807,201508,BOWEX,54,105,30.86,0,0.1,N,0,,20150807,113756,BOWEX
Y8ANA,1,5335054,28209604,20150807,201508,BOWEX,54,105,30.86,0,0.1,N,0,,20150807,114639,BOWEX
Y8ANA,1,5335054,27728719,20150428,201504,VEIKD,54,105,30.64,0,0.3,N,0,,20150428,210558,VEIKD
Y8ANA,1,5335054,27728914,20150428,201504,OBRIT,54,105,30.64,0,0.6,N,0,,20150428,221807,OBRIT
Y8ANA,1,5335054,27728918,20150428,201504,OBRIT,54,105,30.64,0,0.3,N,0,,20150428,221900,OBRIT
Y8ANA,1,5335054,27667011,20150415,201504,HURDA,58,105,24.43,0,2,N,0,,20150415,160415,HURDA
Y8ANA,1,5335054,27672796,20150416,201504,HURDA,58,105,24.43,0,1.5,N,0,,20150416,154132,HURDA
Y8ANA,1,5335054,27675883,20150417,201504,DORWN,58,105,24.43,0,1,N,0,,20150417,85836,LEPHU
Y8ANA,1,5335054,27676919,20150417,201504,GOERM,58,105,24.43,0,1,N,0,,20150417,115316,GOERM
Y8ANA,1,5335054,27684367,20150419,201504,SMITA,58,105,24.43,0,8.5,N,0,,20150419,190942,SERVICE
Y8ANA,1,5335054,27684374,20150419,201504,FENSG,58,105,24.43,0,1,N,0,,20150419,191407,FENSG
Y8ANA,1,5335054,27684375,20150419,201504,FENSG,58,105,24.43,0,1,N,0,,20150419,191408,FENSG
Y8ANA,1,5335054,27684419,20150419,201504,BEECM,58,105,24.43,0,3.6,N,0,,20150419,193014,SERVICE
Y8ANA,1,5335054,27684423,20150419,201504,RANGJ,58,105,24.43,0,3,N,0,,20150419,193310,RANGJ
Y8ANA,1,5335054,27684424,20150419,201504,RANGJ,58,105,24.43,0,3,N,0,,20150419,193311,RANGJ
Y8ANA,1,5335054,27688123,20150420,201504,DORWN,58,105,24.43,0,7,N,0,,20150420,151650,SERVICE
Y8ANA,1,5335054,27688124,20150420,201504,DORWN,58,105,24.43,1,0.5,N,0,,20150420,151651,SERVICE
Y8ANA,1,5335054,27688669,20150420,201504,RYANZ,58,105,24.43,0,2,Y,0,,20150420,154240,RYANZ
Y8ANA,1,5335054,27688670,20150420,201504,RYANZ,58,105,24.43,0,4,N,0,,20150420,154241,RYANZ
Y8ANA,1,5335054,27688761,20150420,201504,HURDA,58,105,24.43,0,2.5,N,0,,20150420,155139,RYANZ
Y8ANA,1,5335054,27688827,20150420,201504,JIMEL,58,105,24.43,0,2.5,N,0,,20150420,155809,SERVICE
Y8ANA,1,5335054,27688832,20150420,201504,JIMEL,58,105,24.43,0,-0.4,N,0,,20150420,155841,SERVICE
Y8ANA,1,5335054,27690106,20150420,201504,HAROR,58,105,24.43,0,10,N,0,,20150420,230009,RYANZ
Y8ANA,1,5335054,27690747,20150421,201504,MCCLT,58,105,24.43,0,12,N,0,,20150421,70401,SERVICE
Y8ANA,1,5335054,27690870,20150421,201504,WELCU,58,105,24.43,0,11,N,0,,20150421,72701,SERVICE
Y8ANA,1,5335054,27690937,20150421,201504,GOULS,58,105,24.43,0,7,N,0,,20150421,73554,GOULS
Y8ANA,1,5335054,27692119,20150420,201504,STAMM,58,105,24.43,0,10,N,0,,20150421,125202,SERVICE
Y8ANA,1,5335054,27692238,20150421,201504,HAROR,58,105,24.43,0,0.5,N,0,,20150421,131419,SERVICE
Y8ANA,1,5335054,27693957,20150421,201504,MARJY,58,105,24.43,0,6.8,N,0,,20150421,152226,SERVICE
Y8ANA,1,5335054,27694011,20150421,201504,MCCAX,58,105,24.43,0,8,N,0,,20150421,152401,SERVICE
Y8ANA,1,5335054,27694163,20150421,201504,WALLB,58,105,24.43,0,6.5,N,0,,20150421,152802,SERVICE
Y8ANA,1,5335054,27694177,20150421,201504,FOWMA,58,105,24.43,0,3.5,N,0,,20150421,152835,SERVICE
Y8ANA,1,5335054,27694299,20150421,201504,JIMEL,58,105,24.43,0,8,N,0,,20150421,153307,
Y8ANA,1,5335054,27694511,20150421,201504,DORWN,58,105,24.43,0,8,N,0,,20150421,154854,SERVICE
Y8ANA,1,5335054,27694512,20150421,201504,DORWN,58,105,24.43,1,0.4,N,0,,20150421,154855,SERVICE
Y8ANA,1,5335054,27694590,20150421,201504,RYANZ,58,105,24.43,0,7,N,0,,20150421,155651,SERVICE
Y8ANA,1,5335054,27695956,20150421,201504,THOMD,58,105,24.43,0,2,N,0,,20150421,224807,SERVICE
Y8ANA,1,5335054,27696020,20150421,201504,STAMM,58,105,24.43,0,9.5,N,0,,20150421,230029,SERVICE
Y8ANA,1,5335054,27696028,20150421,201504,JAMER,58,105,24.43,0,10,N,0,,20150421,230156,SERVICE
Y8ANA,1,5335054,27696246,20150422,201504,WELCU,58,105,24.43,0,5.5,N,0,,20150422,1818,SERVICE
Y8ANA,1,5335054,27696542,20150422,201504,MCCLT,58,105,24.43,0,12,N,0,,20150422,62847,MCCLT
Y8ANA,1,5335054,27696691,20150422,201504,GOULS,58,105,24.43,0,7,N,0,,20150422,70412,GOULS
Y8ANA,1,5335054,27698603,20150422,201504,SIDBR,58,105,24.34,0,6.9,N,0,,20150422,134301,SIDBR
Y8ANA,1,5335054,27699669,20150422,201504,WALLB,58,105,24.34,0,6.1,N,0,,20150422,150933,SERVICE
Y8ANA,1,5335054,27699950,20150422,201504,MARJY,58,105,24.34,0,8,N,0,,20150422,152523,SERVICE
Y8ANA,1,5335054,27700186,20150422,201504,JIMEL,58,105,24.34,0,8,N,0,,20150422,153330,
Y8ANA,1,5335054,27700210,20150422,201504,FOWMA,58,105,24.34,0,8,N,0,,20150422,153458,SERVICE
Y8ANA,1,5335054,27700212,20150422,201504,FOWMA,58,105,24.34,1,0.4,N,0,,20150422,153459,SERVICE
Y8ANA,1,5335054,27700634,20150422,201504,DORWN,58,105,24.34,0,6.7,N,0,,20150422,160046,SERVICE
Y8ANA,1,5335054,27700635,20150422,201504,DORWN,58,105,24.34,1,0.6,N,0,,20150422,160047,SERVICE
Y8ANA,1,5335054,27700673,20150422,201504,RYANZ,58,105,24.34,0,6,N,0,,20150422,160345,RYANZ
Y8ANA,1,5335054,27701546,20150422,201504,NIEHD,58,105,24.34,0,0.6,N,0,,20150422,204011,NIEHD
Y8ANA,1,5335054,27701615,20150422,201504,RHOAZ,58,105,24.34,0,12,N,0,,20150422,211242,RYANZ
Y8ANA,1,5335054,27701846,20150422,201504,THOMD,58,105,24.34,0,9.5,N,0,,20150422,222431,SERVICE
Y8ANA,1,5335054,27701869,20150422,201504,OBRIT,54,105,30.64,0,0.4,N,0,,20150422,223141,OBRIT
Y8ANA,1,5335054,27701947,20150422,201504,HAROR,58,105,24.34,0,1,N,0,,20150422,225134,
Y8ANA,1,5335054,27701961,20150422,201504,JAMER,58,105,24.34,0,10,N,0,,20150422,230519,SERVICE
Y8ANA,1,5335054,27701987,20150422,201504,STAMM,58,105,24.34,0,5,N,0,,20150422,231134,SERVICE
Y8ANA,1,5335054,27702173,20150422,201504,HOESI,58,105,24.34,0,6,N,0,,20150423,1729,SERVICE
Y8ANA,1,5335054,27702328,20150423,201504,RHOAZ,58,105,24.34,0,2.8,N,0,,20150423,35322,SERVICE
Y8ANA,1,5335054,27702635,20150423,201504,MCCLT,58,105,24.34,0,12,N,0,,20150423,65652,SERVICE
Y8ANA,1,5335054,27702654,20150423,201504,GOULS,58,105,24.34,0,4,N,0,,20150423,70251,GOULS
Y8ANA,1,5335054,27706706,20150423,201504,DORWN,58,105,24.34,0,1,N,0,,20150423,160449,SERVICE
Y8ANA,1,5335054,27706722,20150422,201504,HURDA,58,105,24.34,0,8,N,0,,20150423,160627,HURDA
Y8ANA,1,5335054,27706750,20150423,201504,HURDA,58,105,24.34,0,7.5,N,0,,20150423,160747,HURDA
Y8ANA,1,5335054,27706798,20150421,201504,HURDA,58,105,24.34,0,6.8,N,0,,20150423,161147,HURDA
Y8ANA,1,5335054,27706870,20150423,201504,RYANZ,58,105,24.34,0,7,N,0,,20150423,162130,DORWN
Y8ANA,1,5335054,27706871,20150423,201504,RYANZ,58,105,24.34,1,1.5,N,0,,20150423,162131,DORWN
Y8ANA,1,5335054,27706984,20150423,201504,FOWMA,58,105,24.34,0,1.5,N,0,,20150423,163708,SERVICE
Y8ANA,1,5335054,27707040,20150423,201504,OBRIT,54,105,30.64,0,0.4,N,0,,20150423,164353,OBRIT
Y8ANA,1,5335054,27707518,20150423,201504,VEIKD,54,105,30.64,0,0.4,N,0,,20150423,194240,VEIKD
Y8ANA,1,5335054,27707668,20150423,201504,OBRIT,54,105,30.64,0,0.3,N,0,,20150423,210755,OBRIT
Y8ANA,1,5335054,27707887,20150423,201504,STAMM,58,105,24.34,0,4,N,0,,20150423,222408,SERVICE
Y8ANA,1,5335054,27707952,20150423,201504,JAMER,58,105,24.34,0,10,N,0,,20150423,225656,DORWN
Y8ANA,1,5335054,27708009,20150423,201504,THOMD,58,105,24.34,0,10.5,N,0,,20150423,231858,DORWN
Y8ANA,1,5335054,27708037,20150423,201504,OBRIT,54,105,30.64,0,0.7,N,0,,20150423,233633,OBRIT
Y8ANA,1,5335054,27708731,20150424,201504,SIDBR,58,105,24.34,0,1,N,0,,20150424,72354,SERVICE
Y8ANA,1,5335054,27710891,20150424,201504,HURDA,58,105,24.34,0,6.5,N,0,,20150424,133032,HURDA
Y8ANA,1,5335054,27711031,20150424,201504,JIMEL,58,105,24.34,0,6.8,N,0,,20150424,135024,SERVICE
Y8ANA,1,5335054,27711329,20150424,201504,RYANZ,58,105,24.34,0,7,N,0,,20150424,141328,MARJY
Y8ANA,1,5335054,27712677,20150424,201504,MARJY,58,105,24.34,0,1.5,N,0,,20150424,152330,MARJY
Y8ANA,1,5335054,27712678,20150424,201504,MARJY,58,105,24.34,1,0.2,N,0,,20150424,152331,MARJY
Y8ANA,1,5335054,27714353,20150424,201504,OBRIT,54,105,30.64,0,1.2,N,0,,20150424,215608,SERVICE
Y8ANA,1,5335054,27714355,20150424,201504,JAMER,58,105,24.34,0,9,N,0,,20150424,215643,MARJY
Y8ANA,1,5335054,27716373,20150426,201504,SMITA,58,105,24.34,0,2.5,N,0,,20150426,154332,FENSG
Y8ANA,1,5335054,27716710,20150426,201504,BEECM,58,105,24.34,0,4,N,0,,20150426,191758,SERVICE
Y8ANA,1,5335054,27716711,20150426,201504,BEECM,58,105,24.34,0,4,N,0,,20150426,191759,SERVICE
Y8ANA,1,5335054,27716717,20150426,201504,SMITA,58,105,24.34,0,1.8,N,0,,20150426,192017,SMITA
Y8ANA,1,5335054,27716792,20150426,201504,FENSG,58,105,24.34,0,1.5,N,0,,20150426,194616,FENSG
Y8ANA,1,5335054,27716793,20150426,201504,FENSG,58,105,24.34,0,1.5,N,0,,20150426,194617,FENSG
Y8ANA,1,5335054,27718504,20150427,201504,SIDBR,58,105,24.34,0,6,N,0,,20150427,114441,SIDBR
Y8ANA,1,5335054,27719608,20150427,201504,SPEVG,58,105,24.34,0,1,N,0,,20150427,134057,SPEVG
Y8ANA,1,5335054,27719669,20150427,201504,SIDBR,58,105,24.34,0,2,N,0,,20150427,134744,SIDBR
Y8ANA,1,5335054,27721069,20150427,201504,MARJY,58,105,24.34,0,8,N,0,,20150427,152438,SERVICE
Y8ANA,1,5335054,27721150,20150427,201504,HURDA,58,105,24.34,0,7.5,N,0,,20150427,152809,HURDA
Y8ANA,1,5335054,27721217,20150427,201504,RYANZ,58,105,24.34,0,8,N,0,,20150427,153034,SERVICE
Y8ANA,1,5335054,27721378,20150427,201504,JIMEL,58,105,24.34,0,8.2,N,0,,20150427,153954,
Y8ANA,1,5335054,27725012,20150428,201504,SIDBR,58,105,24.34,0,6,N,0,,20150428,120858,SERVICE
Y8ANA,1,5335054,27726978,20150428,201504,MARJY,58,105,24.34,0,8,N,0,,20150428,151730,SERVICE
Y8ANA,1,5335054,27727363,20150428,201504,JIMEL,58,105,24.34,0,8.2,N,0,,20150428,153835,
Y8ANA,1,5335054,27729085,20150428,201504,THOMD,58,105,24.34,0,8,N,0,,20150428,230118,SERVICE
Y8ANA,1,5335054,27729132,20150428,201504,OBRIT,54,105,30.64,0,0.3,N,0,,20150428,231611,OBRIT
Y8ANA,1,5335054,27732399,20150429,201504,RYANZ,58,105,24.34,0,7,N,0,,20150429,141621,RYANZ
Y8ANA,1,5335054,27733523,20150429,201504,MARJY,58,105,24.34,0,8,N,0,,20150429,152550,DORWN
