WONO,SQKNO,WLSSQI,SEQNO,EDATE,APYM,EMPNO,EMPDP,RETAIL,COST,TYPE,HOURS,WARRCD,LPCODT,LSPRTT,LNCHGT,TAXCD,LAREA,RCDCD,LDATE,LTIME,WLSTAT,WLJBNO,WLIVNO,WLENUS,WLBTNO
ZKR4A,1,6412597,32530613,20180121,201801,SMITA,58,0,26.3,0,10,,,,,N,0,T,20180121,190031,,,,SMITA,
ZKR4A,1,6412597,32530639,20180121,201801,FENSG,58,99,26.3,0,3,,,,,N,0,,20180121,190911,,,,FENSG,
ZKR4A,1,6412597,32530640,20180121,201801,FENSG,58,99,26.3,0,2,,,,,N,0,,20180121,190912,,,,FENSG,
ZKR4A,1,6412597,32530660,20180120,201801,MIRAJ,58,99,26.3,0,2.6,,,,,N,0,,20180121,191402,,,,SERVICE,
ZKR4A,1,6412597,32530667,20180120,201801,MIRAJ,58,99,26.3,0,2,,,,,N,0,,20180121,191730,,,,SERVICE,
ZKR4A,1,6412597,32530668,20180120,201801,SMITA,58,99,26.3,0,4.5,,,,,N,0,,20180121,191746,,,,SMITA,
ZKR4A,1,6412597,32530686,20180120,201801,MIRAJ,58,99,26.3,0,-2,,,,,N,0,,20180121,192144,,,,SERVICE,
ZKR4A,1,6412597,32530693,20180121,201801,MIRAJ,58,99,26.3,0,2,,,,,N,0,,20180121,192414,,,,SERVICE,
ZKR4A,1,6412597,32530957,20180121,201801,BEHLC,58,99,26.3,0,2,,,,,N,0,,20180121,224829,,,,LARKC,
ZKR4A,1,6412597,32532114,20180122,201801,LANGM,58,99,26.3,0,2.6,,,,,N,0,,20180122,93341,,,,LANGM,
ZKR4A,1,6412597,32533006,20180122,201801,OLSOZ,58,99,26.3,0,3.7,,,,,N,0,,20180122,125321,,,,SERVICE,
ZKR4A,1,6412597,32534527,20180122,201801,WILSE,58,99,26.3,0,8,,,,,N,0,,20180122,152413,,,,SERVICE,
ZKR4A,1,6412597,32534803,20180122,201801,THOOM,58,99,26.3,0,5.5,,,,,N,0,,20180122,153850,,,,THOOM,
ZKR4A,1,6412597,32534806,20180122,201801,THOOM,58,99,26.3,1,0.5,,,,,N,0,,20180122,153851,,,,THOOM,
ZKR4A,1,6412597,32535064,20180122,201801,SHERJ,58,99,26.3,0,6,,,,,N,0,,20180122,160617,,,,SERVICE,
ZKR4A,1,6412597,32535065,20180122,201801,SHERJ,58,99,26.3,1,1,,,,,N,0,,20180122,160618,,,,SERVICE,
ZKR4A,1,6412597,32536591,20180122,201801,WITTY,58,99,26.3,0,8,,,,,N,0,,20180123,63023,,,,SERVICE,
ZKR4A,1,6412597,32536674,20180122,201801,HURDA,58,99,26.3,0,9.4,,,,,N,0,,20180123,65716,,,,HURDA,
ZKR4A,1,6412597,32536765,20180122,201801,OLSOZ,58,99,26.3,0,-0.7,,,,,N,0,,20180123,72041,,,,SERVICE,
ZKR4A,1,6412597,32536770,20180122,201801,OLSOZ,58,99,26.3,0,2,,,,,N,0,,20180123,72138,,,,SERVICE,
ZKR4A,1,6412597,32539947,20180123,201801,FAUVT,54,0,33,0,0.8,,,,,N,0,T,20180123,150100,,,,FAUVT,
ZKR4A,1,6412597,32539948,20180123,201801,FAUVT,54,0,33,0,0.5,,,,,N,0,T,20180123,150101,,,,FAUVT,
ZKR4A,1,6412597,32540078,20180122,201801,THOOM,58,99,26.15,0,2,,,,,N,0,,20180123,150859,,,,THOOM,
ZKR4A,1,6412597,32540191,20180122,201801,THOOM,58,99,26.15,0,-2,,,,,N,0,,20180123,151542,,,,THOOM,
ZKR4A,1,6412597,32540250,20180123,201801,THOOM,58,99,26.15,0,2,,,,,N,0,,20180123,151737,,,,THOOM,
ZKR4A,1,6412597,32540262,20180123,201801,STRUJ,58,99,26.15,0,8,,,,,N,0,,20180123,151858,,,,STRUJ,
ZKR4A,1,6412597,32540449,20180123,201801,CHILC,58,99,26.15,0,7.5,,,,,N,0,,20180123,152556,,,,SERVICE,
ZKR4A,1,6412597,32540604,20180123,201801,LANGM,58,99,26.15,0,8.5,,,,,N,0,,20180123,153358,,,,STRUJ,
ZKR4A,1,6412597,32541136,20180123,201801,WILSE,58,0,26.15,0,4,,,,,N,0,T,20180123,155528,,,,SERVICE,
ZKR4A,1,6412597,32541137,20180123,201801,WILSE,58,0,26.15,0,4,,,,,N,0,T,20180123,155529,,,,SERVICE,
ZKR4A,1,6412597,32541138,20180123,201801,WILSE,58,0,26.15,1,1.5,,,,,N,0,T,20180123,155530,,,,SERVICE,
ZKR4A,1,6412597,32541699,20180123,201801,OLSOZ,58,99,26.15,1,0.7,,,,,N,0,,20180123,161244,,,,STRUJ,
ZKR4A,1,6412597,32541866,20180123,201801,SHERJ,58,0,26.15,1,2,,,,,N,0,T,20180123,162448,,,,SERVICE,
ZKR4A,1,6412597,32541867,20180123,201801,SHERJ,58,99,26.15,0,8,,,,,N,0,,20180123,162449,,,,SERVICE,
ZKR4A,1,6412597,32543062,20180123,201801,TRAGL,58,0,26.15,0,10,,,,,N,0,T,20180123,223105,,,,TRAGL,
ZKR4A,1,6412597,32543684,20180123,201801,HURDA,58,99,26.15,0,2.3,,,,,N,0,,20180124,43733,,,,HURDA,
ZKR4A,1,6412597,32543830,20180124,201801,MCCLT,58,99,26.15,0,11.7,,,,,N,0,,20180124,61016,,,,TRAGL,
ZKR4A,1,6412597,32543846,20180124,201801,MCCLT,58,99,26.15,0,-0.5,,,,,N,0,,20180124,61909,,,,TRAGL,
ZKR4A,1,6412597,32543938,20180124,201801,MCCLT,58,99,26.15,0,-0.2,,,,,N,0,,20180124,63543,,,,TRAGL,
ZKR4A,1,6412597,32544074,20180124,201801,VEITF,58,99,26.15,0,12,,,,,N,0,,20180124,71237,,,,SERVICE,
ZKR4A,1,6412597,32544075,20180124,201801,VEITF,58,99,26.15,0,0.4,,,,,N,0,,20180124,71238,,,,SERVICE,
ZKR4A,1,6412597,32545961,20180123,201801,WITTY,58,0,26.15,0,8,,,,,N,0,T,20180124,125732,,,,SERVICE,
ZKR4A,1,6412597,32545962,20180123,201801,WITTY,58,99,26.15,1,1,,,,,N,0,,20180124,125733,,,,SERVICE,
ZKR4A,1,6412597,32546787,20180124,201801,FAUVT,54,99,33,0,0.8,,,,,N,0,,20180124,142206,,,,FAUVT,
ZKR4A,1,6412597,32547634,20180124,201801,FAUVT,54,99,33,0,0.7,,,,,N,0,,20180124,152014,,,,FAUVT,
ZKR4A,1,6412597,32547716,20180124,201801,STRUJ,58,99,26.15,0,8,,,,,N,0,,20180124,152348,,,,STRUJ,
ZKR4A,1,6412597,32547829,20180124,201801,OLSOZ,58,99,26.15,0,2.5,,,,,N,0,,20180124,152738,,,,SERVICE,
ZKR4A,1,6412597,32547831,20180124,201801,OLSOZ,58,99,26.15,1,0.5,,,,,N,0,,20180124,152739,,,,SERVICE,
ZKR4A,1,6412597,32547838,20180124,201801,WILSE,58,99,26.15,0,8,,,,,N,0,,20180124,152811,,,,SERVICE,
ZKR4A,1,6412597,32548747,20180124,201801,SHERJ,58,0,26.15,1,2,,,,,N,0,T,20180124,162856,,,,SERVICE,
ZKR4A,1,6412597,32548748,20180124,201801,SHERJ,58,99,26.15,0,7,,,,,N,0,,20180124,162857,,,,SERVICE,
ZKR4A,1,6412597,32549937,20180124,201801,TRAGL,58,0,26.15,0,8.5,,,,,N,0,T,20180124,224019,,,,TRAGL,
ZKR4A,1,6412597,32549938,20180124,201801,TRAGL,58,0,26.15,1,2,,,,,N,0,T,20180124,224020,,,,TRAGL,
ZKR4A,1,6412597,32550698,20180124,201801,WITTY,58,99,26.15,1,1,,,,,N,0,,20180125,61425,,,,STRUJ,
ZKR4A,1,6412597,32550711,20180124,201801,WITTY,58,99,26.15,0,3,,,,,Y,0,,20180125,61531,,,,STRUJ,
ZKR4A,1,6412597,32550719,20180124,201801,WITTY,58,0,26.15,0,2,,,,,Y,0,T,20180125,61712,,,,STRUJ,
ZKR4A,1,6412597,32550727,20180124,201801,WITTY,58,0,26.15,0,2,,,,,Y,0,T,20180125,61759,,,,STRUJ,
ZKR4A,1,6412597,32550902,20180125,201801,VEITF,58,99,26.15,0,12,,,,,N,0,,20180125,65346,,,,SERVICE,
ZKR4A,1,6412597,32551089,20180125,201801,MCCLT,58,99,26.15,0,11,,,,,N,0,,20180125,71325,,,,SERVICE,
ZKR4A,1,6412597,32551200,20180124,201801,OLSOZ,58,99,26.15,0,-2.3,,,,,N,0,,20180125,73133,,,,OLSOZ,
ZKR4A,1,6412597,32554505,20180125,201801,STRUJ,58,99,26.15,0,8,,,,,N,0,,20180125,151724,,,,DANLN,
ZKR4A,1,6412597,32554718,20180125,201801,CHILC,58,99,26.15,0,7.5,,,,,N,0,,20180125,152538,,,,SERVICE,
ZKR4A,1,6412597,32554765,20180125,201801,WILSE,58,99,26.15,0,8,,,,,N,0,,20180125,152711,,,,SERVICE,
ZKR4A,1,6412597,32554767,20180124,201801,CHILC,58,99,26.15,0,6.5,,,,,N,0,,20180125,152711,,,,SERVICE,
ZKR4A,1,6412597,32554969,20180125,201801,OLSOZ,58,0,26.15,0,5.5,,,,,N,0,T,20180125,153431,,,,SERVICE,
ZKR4A,1,6412597,32555126,20180125,201801,LANGM,58,99,26.15,0,7,,,,,N,0,,20180125,154232,,,,STRUJ,
ZKR4A,1,6412597,32555127,20180124,201801,LANGM,58,99,26.15,0,3,,,,,N,0,,20180125,154259,,,,STRUJ,
ZKR4A,1,6412597,32555661,20180125,201801,SHERJ,58,99,26.15,1,2,,,,,N,0,,20180125,162407,,,,SERVICE,
ZKR4A,1,6412597,32555662,20180125,201801,SHERJ,58,99,26.15,0,8,,,,,N,0,,20180125,162408,,,,SERVICE,
